SimplifiedName,TraditionalName,PinyinName,EnglishName_1,EnglishName_2,EnglishName_3,EnglishInterpretation,sort_id
中医学,中醫學,,Chinese medicine; traditional Chinese medicine (TCM),,,,2
中医基础理论,中醫基礎理論,,TCM fundamentals; Chinese medicine fundamentals,,,,2
中医诊断学,中醫診斷學,,TCM diagnostics; Chinese medicine diagnostics,,,,2
中医内科学,中醫內科學,,TCM internal medicine; Chinese internal medicine,,,,2
中医外科学,中醫外科學,,TCM external medicine; Chinese external medicine,,,,2
中医妇科学,中醫婦科學,,TCM gynecology; Gynecology in Chinese medicine,,,,2
中医儿科学,中醫兒科學,,TCM pediatrics; pediatrics in Chinese medicine,,,,2
中医骨伤科学,中醫骨傷科學,,TCM orthopedics and traumatology; orthopedics and traumatology in Chinese medicine,,,,2
正骨,正骨,,①bonesetting ②ulna,,,,2
中医眼科学,中醫眼科學,,TCM ophthalmology; ophthalmology in Chinese medicine,,,,2
中医耳鼻喉科学,中醫耳鼻喉科學,,TCM otorhinolaryngology (ENT); otorhinolaryngology (ENT) in Chinese medicine,,,,2
中医皮肤病学,中醫皮膚病學,,TCM dermatology; dermatology in Chinese medicine,,,,2
中医肛肠病学,中醫肛腸病學,,TCM proctology; proctology in Chinese medicine,,,,2
中医急诊学,中醫急診學,,TCM emergency medicine; Chinese emergency medicine,,,,2
针灸学,針灸學,,acupuncture and moxibustion,,,,2
经络学,經絡學,,the study of channels and collaterals,,,,2
腧穴学,腧穴學,,acupuncture points,,,,2
刺法灸法学,刺法灸法學,,acupuncture and moxibustion techniques,,,,2
针灸治疗学,針灸治療學,,acupuncture and moxibustion therapy,,,,2
实验针灸学,實驗針灸學,,experimental acupuncture and moxibustion,,,,2
推拿学,推拿學,,tui na,,,,2
推拿手法学,推拿手法學,,tui na manipulation,,,,2
针刀医学,針刀醫學,,acupotomy,,,,2
中医养生学,中醫養生學,,TCM health preservation; health preservation in Chinese medicine,,,,2
中医康复学,中醫康複學,,TCM rehabilitation; rehabilitation in Chinese medicine,,,,2
中医食疗学,中醫食療學,,TCM dietary therapy; dietary therapy in Chinese medicine,,,,2
中医药膳学,中醫藥膳學,,TCM medicinal diet; medicinal diet in Chinese medicine,,,,2
中医护理学,中醫護理學,,TCM nursing; nursing in Chinese medicine,,,,2
十三科,十三科,,thirteen branches of medicine,,,,2
中药学,中藥學,,Chinese materia medica; the study of Chinese medicinals,,,,2
本草,本草,,materia medica,,,,2
本草学,本草學,,material medica,,,,2
方剂学,方劑學,,Chinese medical formulas,,,,2
中草药,中草藥,,Chinese herbal medicine; Chinese herbal medicinal(s),,,,2
中成药学,中成藥學,,Chinese patent medicine,,,,2
药用植物学,藥用植物學,,pharmaceutical botany,,,,2
中药化学,中藥化學,,Chinese medicinal chemistry,,,,2
中药药理学,中藥藥理學,,Chinese medicinal pharmacology,,,,2
中药鉴别学,中藥鑒別學,,Chinese medicinal identification,,,,2
中药炮炙学,中藥炮炙學,,Chinese medicinal processing,,,,2
中药药剂学,中藥藥劑學,,Chinese medicinal pharmaceutics,,,,2
中药制剂分析,中藥制劑分析,,analysis of Chinese medicinal preparations,,,,2
中医医史学,中醫醫史學,,history of Chinese medicine,,,,2
中医文献学,中醫文獻學,,Chinese medical literature,,,,2
中医各家学说,中醫各家學說,,various schools of Chinese medicine,,,,2
医古文,醫古文,,classical medical Chinese,,,,2
中医医案,中醫醫案,,TCM case records; case records of Chinese medicine,,,,2
温病学,溫病學,,warm disease,,,,2
中西医结合,中西醫結合,,integration of Chinese and Western medicine,,,,2
中医,中醫,,①Chinese medicine ②Chinese medicine practitioner; practitioner of Chinese medicine; Chinese medicine doctor/physician; physician/doctor of Chinese medicine,,,,2
中医师,中醫師,,Chinese medicine practitioner; practitioner of Chinese medicine; Chinese medicine doctor/physician; physician/doctor of Chinese medicine,,,,2
中药师,中藥師,,practitioner of Chinese medicinal therapy,,,,2
针灸师,針灸師,,acupuncturist,,,,2
推拿按摩师,推拿按摩師,,tui na practitioner,,,,2
中西医结合医师,中西醫結合醫師,,physician/doctor of integrative medicine (Chinese and Western),,,,2
中医护士,中醫護士,,TCM nurse,,,,2
草药医生,草藥醫生,,herbalist,,,,2
疡医,瘍醫,,sore and wound doctor,,,,2
传统医学,傳統醫學,,traditional medicine,,,"the sum total of knowledge, skills and practice of holistic care for maintenance of health and treatment of disease based on indigenous theories, beliefs and experiences handed down from generation to generation",2
中西医结合,中西醫結合,,integration of traditional Chinese and Western medicine,,,a process of ongoing development of traditional Chinese medicine involving the incorporation of modern scientific knowledge and measures as well as blending of key aspects of traditional Chinese medicine and modern Western medicine,2
中医基础理论,中醫基礎理論,,basic theory of traditional Chinese medicine,,,"the branch of traditional Chinese medicine dealing with the basic concepts, theories, rules and principles",2
中医诊断学,中醫診斷學,,traditional Chinese diagnostics,,,"the branch of traditional Chinese medicine dealing with the procedure and practice of examining patients, determining diseases and differentiating syndromes/ identifying patterns of signs and symptoms of diseases, also called traditional Chinese medical diagnostics",2
中药学,中藥學,,traditional Chinese pharmacy,,,"the branch of traditional Chinese medicine dealing with the source, nature, collection, processing, dispensing, actions, e幵ects and uses of Chinese medicines",2
方剂学,方劑學,,formula study,,,"the branch of traditional Chinese medicine concerned with therapeutic principles, combination of medicinal ingredients, composition of prescriptions and the clinical uses of herbal medicines, also called Chinese herbal formula study",2
中药炮制学,中藥炮製學,,processing of herbal medicinals,,,"the branch of traditional Chinese medicine dealing with the theory, technology, specifications and standards of processing herbal medicine, also called preparation and processing of Chinese herbal medicine",2
经络学,經絡學,,meridian and collateral (study),,,"the branch of acupuncture concerned with the study of structural connection, physiology, pathology, diagnostics and therapeutic principles, on the basis of meridian phenomena, also known as channel and networks study",2
输穴学； 经穴学,輸穴學； 經穴學,,acupuncture points (study),,,"the branch of acupuncture dealing with the study of the location, action and indication of acupuncture points and their related theories",2
中医推拿学,中醫推拿學,,traditional Chinese tuina,,,the branch of traditional Chinese medicine concerned with the principles and clinical use of tuina (massage) therapy,2
中医养生学,中醫養生學,,traditional Chinese life nurturing,,,"the branch of traditional Chinese medicine concerned with promotion of health, prevention of disease and longevity, also called traditional Chinese health cultivation",2
中医学； 中医,中醫學； 中醫,,traditional Chinese medicine,,,"the traditional medicine that originated in China, and is characterized by holism and treatment based on pattern identification/syndrome differentiation",2
